index,PROJECT,#Code Files,LOC,#function under test,#generated test cases,#build success,build success rate,#run success,run success rate
1,JsonBox,19,1467,72,6894,44,0.6111111111111112,44,1.0
2,re2,77,27844,609,20121,396,0.6502463054187192,340,0.8564231738035264
3,leveldb,126,19016,495,9702,343,0.692929292929293,322,0.9387755102040817
4,Catch2,272,38848,1115,23558,616,0.5524663677130045,530,0.8576051779935275
5,glomap,71,6813,168,2832,65,0.3869047619047619,63,0.9692307692307692
6,ninja,119,21745,170,3464,103,0.6058823529411764,101,0.9711538461538461
7,tinyxml2,3,5841,328,13860,309,0.9420731707317073,267,0.8640776699029126
8,yaml-cpp,91,9215,686,24401,486,0.7084548104956269,469,0.9650205761316872
9,exiv2,182,68638,2206,56669,1205,0.5432822362488728,1132,0.9394190871369295
10,poppler,548,195640,2792,59005,669,0.2396131805157593,590,0.8805970149253731
,TOTAL,3016,790134,17280,270473,7286,0.5627119288041825,6619,0.9190094078635991
